Occupant Config,,,Crash Config,Sensor accuracy: adaptive system,,,,Non-adaptive system,,Seatbelt Component
weight,seat_position,height,velocity [km/h],injury_risk_fusion_35y,injury_risk_fusion_65y,injury_risk_camera_35y,injury_risk_camera_65y,injury_risk_non_adapt_35y,injury_risk_non_adapt_65y,Seatbelt Component
49,1440,152,40,0.003113866,0.004670799,0.003306508,0.004959762,0.011656523,0.017484784,CLL
49,1440,152,50,0.029760236,0.044640355,0.027629404,0.041444106,0.016983387,0.025475081,CLL
49,1440,152,56,0.04135618,0.06203427,0.089903499,0.134855249,0.090752102,0.136128153,CLL
49,1440,159.6666667,40,0.003270447,0.004905671,0.005033195,0.007549793,0.022176564,0.033264846,CLL
49,1440,159.6666667,50,0.030509541,0.045764311,0.040536326,0.060804488,0.036528375,0.054792563,CLL
49,1440,159.6666667,56,0.150119997,0.225179995,0.198352854,0.297529281,0.119682019,0.179523029,CLL
49,1534,152,40,0.006354749,0.009532124,0.006567299,0.009850949,0.011477888,0.017216831,CLL
49,1534,152,50,0.011181712,0.016772568,0.013371229,0.020056844,0.016073828,0.024110742,CLL
49,1534,152,56,0.026676091,0.040014136,0.026677395,0.040016092,0.075450272,0.113175409,CLL
49,1534,159.6666667,40,0.011498988,0.017248482,0.011902153,0.01785323,0.023280442,0.034920663,CLL
49,1534,159.6666667,50,0.069035412,0.103553118,0.038885655,0.058328482,0.049780742,0.074671113,CLL
49,1534,159.6666667,56,0.078144678,0.117217016,0.078752649,0.118128973,0.141710525,0.212565788,CLL
49,1628,152,40,0.003858507,0.00578776,0.00425452,0.00638178,0.015555024,0.023332536,CLL
49,1628,152,50,0.021641254,0.032461882,0.026712537,0.040068805,0.023730608,0.035595912,CLL
49,1628,152,56,0.065944248,0.098916373,0.068442948,0.102664422,0.125141138,0.187711707,CLL
49,1628,159.6666667,40,0.012200177,0.018300265,0.01248914,0.01873371,0.024456799,0.036685199,CLL
49,1628,159.6666667,50,0.130815881,0.196223822,0.124599502,0.186899252,0.072271331,0.108406997,CLL
49,1628,159.6666667,56,0.115817329,0.173725994,0.14707078,0.22060617,0.18231825,0.273477375,CLL
49,1722,152,40,0.008593976,0.012890965,0.00776273,0.011644095,0.023059905,0.034589857,CLL
49,1722,152,50,0.139112044,0.208668066,0.196106086,0.29415913,0.081508278,0.122262417,CLL
49,1722,152,56,0.09330938,0.139964069,0.115256542,0.172884813,0.212704258,0.319056387,CLL
49,1722,159.6666667,40,0.012640059,0.018960088,0.013003051,0.019504577,0.025666416,0.038499624,CLL
49,1722,159.6666667,50,0.138072328,0.207108491,0.153403288,0.230104933,0.107121475,0.160682213,CLL
49,1722,159.6666667,56,0.143934313,0.215901469,0.147045873,0.22056881,0.221608646,0.332412969,CLL
49,1816,152,40,0.055891361,0.083837041,0.049866498,0.074799746,0.057924031,0.086886047,CLL
49,1816,152,50,0.155370519,0.233055779,0.160322659,0.240483988,0.176762032,0.265143048,CLL
49,1816,152,56,0.31332479,0.469987184,0.314335689,0.471503533,0.324586371,0.486879556,CLL
49,1816,159.6666667,40,0.022965133,0.0344477,0.028853595,0.043280393,0.026824236,0.040236354,CLL
49,1816,159.6666667,50,0.117744102,0.176616154,0.15804231,0.237063464,0.153869,0.2308035,CLL
49,1816,159.6666667,56,0.167369822,0.251054733,0.178859619,0.268289428,0.262805433,0.394208149,CLL
58.66666667,1440,152,40,0.019935515,0.029903273,0.020883619,0.031325429,0.011851907,0.01777786,CLL
58.66666667,1440,152,50,0.027815878,0.041723818,0.032741785,0.049112678,0.019298262,0.028947393,CLL
58.66666667,1440,152,56,0.03785261,0.056778915,0.040802225,0.061203338,0.071296413,0.106944619,CLL
58.66666667,1440,159.6666667,40,0.01015681,0.015235215,0.010137916,0.015206873,0.026936948,0.040405422,CLL
58.66666667,1440,159.6666667,50,0.062479602,0.093719403,0.080874316,0.121311473,0.070507128,0.105760693,CLL
58.66666667,1440,159.6666667,56,0.117843144,0.176764716,0.123544736,0.185317104,0.173492076,0.260238114,CLL
58.66666667,1440,167.3333333,40,0.012149632,0.018224448,0.014700711,0.022051066,0.026069701,0.039104551,CLL
58.66666667,1440,167.3333333,50,0.055611789,0.083417684,0.054311872,0.081467807,0.068385923,0.102578885,CLL
58.66666667,1440,167.3333333,56,0.068945502,0.103418254,0.075890078,0.113835117,0.128445586,0.192668379,CLL
58.66666667,1440,175,40,0.001414955,0.002122432,0.001371384,0.002057076,0.01265347,0.018980205,CLL
58.66666667,1440,175,50,0.009400308,0.014100462,0.009632409,0.014448613,0.018419683,0.027629524,CLL
58.66666667,1440,175,56,0.031906351,0.047859527,0.040571682,0.060857523,0.052976233,0.079464349,CLL
58.66666667,1534,152,40,0.005115092,0.007672638,0.005152702,0.007729053,0.011750996,0.017626494,CLL
58.66666667,1534,152,50,0.016086221,0.024129331,0.017811656,0.026717484,0.01678415,0.025176225,CLL
58.66666667,1534,152,56,0.045774556,0.068661835,0.048957552,0.073436327,0.088584661,0.132876992,CLL
58.66666667,1534,159.6666667,40,0.018852711,0.028279066,0.015949667,0.0239245,0.028089225,0.042133838,CLL
58.66666667,1534,159.6666667,50,0.04128496,0.06192744,0.041656224,0.062484337,0.0869367,0.13040505,CLL
58.66666667,1534,159.6666667,56,0.099043137,0.148564706,0.103537852,0.155306778,0.207766269,0.311649403,CLL
58.66666667,1534,167.3333333,40,0.020138919,0.030208379,0.024867892,0.037301838,0.027368367,0.04105255,CLL
58.66666667,1534,167.3333333,50,0.082329637,0.123494455,0.091725867,0.137588801,0.068446461,0.102669691,CLL
